Network          Next Hop            Metric LocPrf Weight Path

Route Distinguisher: 7303:646

*>i  10.61.170.160/27 181.88.172.189           0    100      0 ?

*>i  10.61.176.192/29 181.88.172.179           0    100      0 ?

*>i  10.61.253.47/32  181.89.4.205            52    100      0 ?

*>i  10.74.103.244/30 181.96.115.236           0    100      0 ?

*>i  10.90.6.56/30    181.88.69.229            0    100      0 ?

*    10.105.142.240/29

                       10.100.0.124                           0 10481 64600 i

*>                    10.100.0.124                           0 10481 64600 i

*    10.105.167.248/29

                       10.100.0.124                           0 10481 64600 i

     Network          Next Hop            Metric LocPrf Weight Path

*>                    10.100.0.124                           0 10481 64600 i

*>i  10.122.0.0/27    181.88.172.183           0    100      0 ?

*>i  10.122.8.32/29   181.88.172.157           0    100      0 ?

*>i  10.122.8.40/29   181.88.172.157           0    100      0 ?

*>i  10.122.8.48/29   181.88.172.157           0    100      0 ?

*>i  10.122.8.56/29   181.88.172.157           0    100      0 ?

*>i  10.122.8.128/29  181.88.172.132           0    100      0 ?

*>i  10.122.8.136/29  181.88.172.132           0    100      0 ?

*>i  10.122.8.144/29  181.88.172.132           0    100      0 ?

*>i  10.122.8.152/29  181.88.172.132           0    100      0 ?

*>i  10.122.8.168/29  181.88.172.132           0    100      0 ?

*>i  10.122.8.192/27  181.88.172.132           0    100      0 ?

*>i  10.122.8.224/27  181.88.172.132           0    100      0 ?

*>i  10.122.9.0/27    181.88.172.132           0    100      0 ?

*>i  10.122.9.32/29   181.88.172.220           0    100      0 ?

*>i  10.122.9.48/29   181.88.172.181           0    100      0 ?

*>i  10.122.9.64/27   181.88.172.162           0    100      0 ?

*>i  10.122.9.128/27  181.88.172.189           0    100      0 ?

*>i  10.122.9.160/27  181.88.172.60            0    100      0 ?

*>i  10.122.9.192/27  181.88.172.220           0    100      0 ?

*>i  10.122.10.128/27 181.88.172.179           0    100      0 65011 ?

*>i  10.122.10.144/29 181.88.172.181           0    100      0 ?

*>i  10.122.10.224/29 190.225.250.50           0    100      0 ?

*>i  10.122.11.128/28 181.88.172.162           0    100      0 ?

*>i  10.122.11.144/28 181.88.172.162           0    100      0 ?

*>i  10.122.11.160/29 181.88.172.183           0    100      0 ?

*>i  10.122.11.168/29 181.88.172.162           0    100      0 ?

*>i  10.122.13.224/28 181.88.172.181           0    100      0 ?

*>i  10.122.14.0/29   181.88.172.162           0    100      0 ?

*>i  10.122.14.32/28  181.88.172.181           0    100      0 ?

*>i  10.122.14.48/28  181.88.172.158           0    100      0 ?

*>i  10.122.14.56/32  181.88.172.158           0    100      0 ?

*>i  10.122.14.64/27  181.88.172.181           0    100      0 ?

*>i  10.122.14.96/27  181.88.172.183           0    100      0 ?

*>i  10.122.14.144/29 190.225.250.50           0    100      0 ?

*>i  10.122.14.152/29 190.225.250.50           0    100      0 ?

*>i  10.122.14.160/27 181.88.172.181           0    100      0 ?

*>i  10.122.14.192/29 181.88.172.181           0    100      0 ?

*>i  10.122.14.200/29 181.88.172.158           0    100      0 ?

*>i  10.122.14.216/29 181.88.172.181           0    100      0 ?

*>i  10.122.14.232/29 181.88.172.221           0    100      0 ?

*>i  10.122.15.0/28   181.88.172.183           0    100      0 ?

*>i  10.122.15.32/28  181.88.172.183           0    100      0 ?

     Network          Next Hop            Metric LocPrf Weight Path

*>i  10.122.15.48/28  181.88.172.158           0    100      0 ?

*>i  10.122.15.64/27  181.88.172.158           0    100      0 ?

*>i  10.122.15.96/29  181.88.172.179           0    100      0 65011 ?

*>i  10.122.15.208/29 181.89.6.34              0    100      0 ?

*>i  10.122.15.216/29 181.88.172.158           0    100      0 ?

*>i  10.122.15.224/27 181.88.172.220           0    100      0 ?

*>i  10.122.16.0/27   181.88.172.181           0    100      0 ?

*>i  10.122.16.32/27  181.88.172.132           0    100      0 ?

*>i  10.122.16.64/27  181.88.172.132           0    100      0 ?

*>i  10.122.16.96/27  181.88.172.132           0    100      0 ?

*>i  10.122.16.128/27 181.88.172.132           0    100      0 ?

*>i  10.122.16.160/27 181.88.172.132           0    100      0 ?

*>i  10.122.16.224/27 181.88.172.177           0    100      0 ?

*>i  10.122.17.0/27   181.88.172.162           0    100      0 ?

*>i  10.122.17.32/27  181.88.172.157           0    100      0 ?

*>i  10.122.17.64/27  181.88.172.181           0    100      0 ?

*>i  10.122.17.96/27  181.88.172.158           0    100      0 ?

*>i  10.122.17.128/27 181.88.172.183           0    100      0 ?

*>i  10.122.17.160/27 181.88.172.162           0    100      0 ?

*>i  10.122.17.192/27 200.3.61.3               0    100      0 ?

*>i  10.122.18.0/27   181.88.172.157           0    100      0 ?

*>i  10.122.18.32/27  181.88.172.181           0    100      0 ?

*>i  10.122.18.64/27  181.88.172.181           0    100      0 ?

*>i  10.122.18.96/27  181.88.172.220           0    100      0 ?

*>i  10.122.18.128/26 181.88.172.158           0    100      0 ?

*>i  10.122.18.192/27 181.88.172.183           0    100      0 ?

*>i  10.122.18.224/27 181.88.172.132           0    100      0 ?

*>i  10.122.19.0/27   181.88.172.162           0    100      0 ?

*>i  10.122.19.32/27  181.88.172.158           0    100      0 ?

*>i  10.122.19.64/27  181.88.172.132           0    100      0 ?

*>i  10.122.19.128/27 181.88.172.132           0    100      0 ?

*>i  10.122.19.192/27 181.88.172.132           0    100      0 ?

*>i  10.122.19.224/27 181.88.172.158           0    100      0 ?

*>i  10.122.20.0/27   181.88.172.189           0    100      0 ?

*>i  10.122.20.32/29  181.88.172.189           0    100      0 ?

*>i  10.122.20.64/27  200.3.61.4               0    100      0 ?

*>i  10.122.21.0/27   181.88.172.163           0    100      0 ?

*>i  10.122.21.32/27  200.3.61.4               0    100      0 ?

*>i  10.122.21.96/27  190.225.250.50           0    100      0 ?

*>i  10.122.21.128/27 181.88.172.132           0    100      0 ?

*>i  10.122.21.224/27 181.88.172.132           0    100      0 ?

*>i  10.122.22.0/29   181.88.172.132           0    100      0 ?

*>i  10.122.22.32/28  181.88.172.199           0    100      0 ?

     Network          Next Hop            Metric LocPrf Weight Path

*>i  10.122.22.160/27 200.3.61.3               0    100      0 ?

*>i  10.122.22.192/27 200.3.61.3               0    100      0 ?

*>i  10.122.23.96/29  190.225.250.50           0    100      0 ?

*>i  10.122.23.104/29 190.225.250.50           0    100      0 ?

*>i  10.122.23.112/28 190.225.250.50           0    100      0 ?

*>i  10.122.23.128/29 190.225.250.50           0    100      0 ?

*>i  10.122.23.136/29 181.89.6.35              0    100      0 ?

*>i  10.122.23.152/29 190.225.250.50           0    100      0 ?

*>i  10.122.23.160/27 181.88.172.199           0    100      0 ?

*>i  10.122.23.192/29 200.3.61.3               0    100      0 ?

*>i  10.122.24.0/29   181.88.172.132           0    100      0 ?

*>i  10.122.24.16/28  181.88.172.132           0    100      0 ?

*>i  10.122.24.24/29  181.88.172.132           0    100      0 ?

*>i  10.122.24.32/28  181.88.172.132           0    100      0 ?

*>i  10.122.24.48/28  181.88.172.132           0    100      0 ?

*>i  10.122.24.64/29  181.88.172.132           0    100      0 ?

*>i  10.122.24.80/29  181.88.172.132           0    100      0 ?

*>i  10.122.24.128/27 181.88.172.132           0    100      0 ?

*>i  10.122.24.160/29 200.3.61.3               0    100      0 ?

*>i  10.122.24.164/30 181.88.172.181           0    100      0 ?

*>i  10.122.24.192/28 181.88.172.177           0    100      0 ?

*>i  10.122.25.0/29   181.88.172.181           0    100      0 ?

*>i  10.122.25.16/29  181.88.172.181           0    100      0 ?

*>i  10.122.25.32/29  181.88.172.183           0    100      0 ?

*>i  10.122.25.40/29  181.88.172.183           0    100      0 ?

*>i  10.122.25.64/28  181.88.172.158           0    100      0 ?

*>i  10.122.25.80/29  181.88.172.158           0    100      0 ?

*>i  10.122.25.96/28  181.88.172.158           0    100      0 ?

*>i  10.122.25.104/29 181.88.172.158           0    100      0 ?

*>i  10.122.25.128/29 181.88.172.162           0    100      0 ?

*>i  10.122.25.144/29 181.88.172.162           0    100      0 ?

*>i  10.122.25.160/29 181.88.172.162           0    100      0 ?

*>i  10.122.25.192/28 200.3.61.3               0    100      0 ?

*>i  10.122.26.0/27   181.88.172.181           0    100      0 ?

*>i  10.122.26.32/29  181.88.172.181           0    100      0 ?

*>i  10.122.26.40/29  181.88.172.181           0    100      0 ?

*>i  10.122.26.48/29  181.88.172.181           0    100      0 ?

*>i  10.122.26.96/27  181.88.172.181           0    100      0 ?

*>i  10.122.26.128/28 181.88.172.157           0    100      0 ?

*>i  10.122.26.160/29 181.88.172.157           0    100      0 ?

*>i  10.122.26.192/27 181.88.172.181           0    100      0 ?

*>i  10.122.26.200/29 181.88.172.181           0    100      0 ?

*>i  10.122.26.208/29 181.88.172.181           0    100      0 ?

     Network          Next Hop            Metric LocPrf Weight Path

*>i  10.122.26.224/27 181.88.172.220           0    100      0 ?

*>i  10.122.27.0/27   181.88.172.158           0    100      0 ?

*>i  10.122.27.32/27  181.88.172.158           0    100      0 ?

*>i  10.122.27.64/27  181.88.172.158           0    100      0 ?

*>i  10.122.27.96/28  181.88.172.158           0    100      0 ?

*>i  10.122.27.129/32 181.88.172.183           0    100      0 ?

*>i  10.122.27.192/29 181.88.172.162           0    100      0 ?

*>i  10.122.28.0/28   181.88.172.132           0    100      0 ?

*>i  10.122.28.64/27  181.88.172.132           0    100      0 ?

*>i  10.122.28.96/27  181.88.172.132           0    100      0 ?

*>i  10.122.28.128/27 181.88.172.189           0    100      0 ?

*>i  10.122.28.160/27 181.88.172.189           0    100      0 ?

*>i  10.122.29.0/27   181.88.172.158           0    100      0 ?

*>i  10.122.29.32/27  181.88.172.158           0    100      0 ?

*>i  10.122.29.64/27  181.88.172.158           0    100      0 ?

*>i  10.122.29.96/27  181.88.172.181           0    100      0 ?

*>i  10.122.30.0/27   181.88.172.158           0    100      0 ?

*>i  10.122.30.32/27  181.88.172.158           0    100      0 ?

*>i  10.122.30.96/27  200.3.61.4               0    100      0 ?

*>i  10.122.30.128/27 200.3.61.3               0    100      0 ?

*>i  10.122.30.160/27 200.3.61.3               0    100      0 ?

*>i  10.122.30.184/29 181.88.172.132           0    100      0 ?

*>i  10.122.30.192/27 181.88.172.132           0    100      0 ?

*>i  10.122.30.224/27 181.88.172.199           0    100      0 ?

*>i  10.122.30.252/31 181.88.172.199           0    100      0 ?

*>i  10.122.31.0/27   181.89.4.60              0    100      0 ?

*>i  10.122.31.16/28  181.89.4.60              0    100      0 ?

*>i  10.122.31.32/27  200.3.61.3               0    100      0 ?

*>i  10.122.31.64/29  200.3.61.3               0    100      0 ?

*>i  10.122.31.72/29  200.3.61.3               0    100      0 ?

