Network          Next Hop            Metric LocPrf Weight Path

Route Distinguisher: 7303:646


*>i  10.122.60.244/32 181.88.172.86            0    100      0 ?

*>i  10.122.60.245/32 181.96.23.134            0    100      0 ?

*>i  10.122.60.246/32 181.89.6.33              0    100      0 ?

*>i  10.122.60.247/32 181.88.79.194            0    100      0 ?

*>i  10.122.60.248/32 181.96.115.180           0    100      0 ?

*>i  10.122.60.249/32 181.88.79.185            0    100      0 ?

*>i  10.122.60.250/32 181.96.61.21             0    100      0 ?

*>i  10.122.60.253/32 181.96.23.129            0    100      0 ?

*>i  10.122.60.254/32 181.96.115.168           0    100      0 ?

*>i  10.122.61.12/32  181.88.69.171            0    100      0 ?

*>i  10.122.61.13/32  181.88.172.141           0    100      0 ?

*>i  10.122.61.15/32  181.88.79.211            0    100      0 ?

*>i  10.122.61.16/32  181.88.172.84            0    100      0 ?

*>i  10.122.61.17/32  181.88.79.221            0    100      0 ?

*>i  10.122.61.19/32  181.88.69.229            0    100      0 ?

*>i  10.122.61.20/32  181.88.79.188            0    100      0 ?

*>i  10.122.61.21/32  181.88.172.35            0    100      0 ?

*>i  10.122.61.22/32  181.89.6.14              0    100      0 ?

*>i  10.122.61.23/32  181.88.69.157            0    100      0 ?

*>i  10.122.61.25/32  181.88.79.31             0    100      0 ?

*>i  10.122.61.26/32  181.88.69.151            0    100      0 ?

*>i  10.122.61.27/32  181.88.69.135            0    100      0 ?

     Network          Next Hop            Metric LocPrf Weight Path

*>i  10.122.61.28/32  181.88.78.76             0    100      0 ?

*>i  10.122.61.29/32  181.88.79.85             0    100      0 ?

*>i  10.122.61.30/32  181.96.23.181            0    100      0 ?

*>i  10.122.61.31/32  181.96.115.208           0    100      0 ?

*>i  10.122.61.33/32  181.88.172.140           0    100      0 ?

*>i  10.122.61.34/32  181.88.79.77             0    100      0 ?

*>i  10.122.61.35/32  181.88.172.213           0    100      0 ?

*>i  10.122.61.38/32  181.88.79.67             0    100      0 ?

*>i  10.122.61.39/32  181.88.79.203            0    100      0 ?

*>i  10.122.61.40/32  181.88.172.139           0    100      0 ?

*>i  10.122.61.41/32  181.88.172.142           0    100      0 ?

*>i  10.122.61.42/32  181.88.172.151           0    100      0 ?

*>i  10.122.61.43/32  181.88.172.136           0    100      0 ?

*>i  10.122.61.44/32  181.88.79.171            0    100      0 ?

*>i  10.122.61.45/32  181.88.79.28             0    100      0 ?

*>i  10.122.61.47/32  181.88.172.132           0    100      0 ?

*>i  10.122.61.48/32  181.88.172.221           0    100      0 ?

*>i  10.122.61.49/32  181.96.61.7              0    100      0 ?

*>i  10.122.61.50/32  181.88.69.150            0    100      0 ?

*>i  10.122.61.51/32  181.88.79.96             0    100      0 ?

*>i  10.122.61.52/32  181.89.4.7               0    100      0 ?

*>i  10.122.61.53/32  181.96.23.238            0    100      0 ?

*>i  10.122.61.54/32  181.88.172.62            0    100      0 ?

*>i  10.122.61.55/32  181.88.172.81            0    100      0 ?

*>i  10.122.61.56/32  181.88.172.183           0    100      0 ?

*>i  10.122.61.57/32  181.88.79.4              0    100      0 ?

*>i  10.122.61.58/32  181.88.79.24             0    100      0 ?

*>i  10.122.61.60/32  181.88.172.154           0    100      0 ?

*>i  10.122.61.61/32  181.88.172.199           0    100      0 ?

*>i  10.122.61.62/32  181.88.172.157           0    100      0 ?

*>i  10.122.61.63/32  181.88.172.202           0    100      0 ?

*>i  10.122.61.64/32  181.89.4.44              0    100      0 ?

*>i  10.122.61.65/32  181.88.172.204           0    100      0 ?

*>i  10.122.61.66/32  181.88.69.246            0    100      0 ?

*>i  10.122.61.67/32  181.88.172.160           0    100      0 ?

*>i  10.122.61.68/32  181.88.172.146           0    100      0 ?

*>i  10.122.61.69/32  181.88.172.19            0    100      0 ?

*>i  10.122.61.70/32  181.96.61.5              0    100      0 ?

*>i  10.122.61.71/32  181.88.69.226            0    100      0 ?

*>i  10.122.61.72/32  181.96.23.203            0    100      0 ?

*>i  10.122.61.73/32  181.88.172.74            0    100      0 ?

*>i  10.122.61.76/32  181.88.69.234            0    100      0 ?

*>i  10.122.61.78/32  181.89.6.34              0    100      0 ?

     Network          Next Hop            Metric LocPrf Weight Path

*>i  10.122.61.80/32  181.88.172.179           0    100      0 ?

*>i  10.122.61.81/32  181.89.4.145             0    100      0 ?

*>i  10.122.61.82/32  181.88.172.23            0    100      0 ?

*>i  10.122.61.84/32  181.89.6.35              0    100      0 ?

*>i  10.122.61.87/32  181.88.69.251            0    100      0 ?

*>i  10.122.61.88/32  181.88.69.254            0    100      0 ?

*>i  10.122.61.89/32  181.88.69.252            0    100      0 ?

*>i  10.122.61.90/32  181.96.23.155            0    100      0 ?

*>i  10.122.61.91/32  181.88.172.191           0    100      0 ?

*>i  10.122.61.92/32  181.88.79.114            0    100      0 ?

*>i  10.122.61.93/32  181.88.172.36            0    100      0 ?

*>i  10.122.61.94/32  181.88.172.185           0    100      0 ?

*>i  10.122.61.96/32  181.88.79.205            0    100      0 ?

*>i  10.122.61.97/32  181.88.79.134            0    100      0 ?

*>i  10.122.61.98/32  181.96.23.58             0    100      0 ?

*>i  10.122.61.99/32  181.96.23.17             0    100      0 ?

*>i  10.122.61.100/32 181.96.23.221            0    100      0 ?

*>i  10.122.61.101/32 181.88.69.235            0    100      0 ?

*>i  10.122.61.102/32 181.88.172.13            0    100      0 ?

*>i  10.122.61.103/32 181.88.69.249            0    100      0 ?

*>i  10.122.61.104/32 181.88.79.193            0    100      0 ?

*>i  10.122.61.105/32 181.88.79.248            0    100      0 ?

*>i  10.122.61.106/32 181.88.172.79            0    100      0 ?

*>i  10.122.61.107/32 181.88.172.58            0    100      0 ?

*>i  10.122.61.108/32 181.88.79.83             0    100      0 ?

*>i  10.122.61.109/32 186.153.154.15           0    100      0 ?

*>i  10.122.61.110/32 181.88.172.186           0    100      0 ?

*>i  10.122.61.111/32 181.88.79.74             0    100      0 ?

*>i  10.122.61.112/32 181.96.115.62            0    100      0 ?

*>i  10.122.61.113/32 181.96.23.25             0    100      0 ?

*>i  10.122.61.114/32 181.88.172.189           0    100      0 ?

*>i  10.122.61.115/32 181.88.69.172            0    100      0 ?

*>i  10.122.61.116/32 181.88.78.129            0    100      0 ?

*>i  10.122.61.117/32 181.88.79.168            0    100      0 ?

*>i  10.122.61.120/32 181.88.79.65             0    100      0 ?

*>i  10.122.61.121/32 181.88.172.201           0    100      0 ?

*>i  10.122.61.122/32 181.88.69.156            0    100      0 ?

*>i  10.122.61.123/32 181.88.79.69             0    100      0 ?

*>i  10.122.61.124/32 181.88.79.120            0    100      0 ?

*>i  10.122.61.125/32 181.88.79.81             0    100      0 ?

*>i  10.122.61.126/32 181.88.69.170            0    100      0 ?

*>i  10.122.61.127/32 181.88.79.173            0    100      0 ?

*>i  10.122.61.128/32 181.88.172.75            0    100      0 ?

     Network          Next Hop            Metric LocPrf Weight Path

*>i  10.122.61.129/32 181.96.23.81             0    100      0 ?

*>i  10.122.61.130/32 181.89.4.37              0    100      0 ?

*>i  10.122.61.131/32 181.88.172.60            0    100      0 ?

*>i  10.122.61.132/32 181.96.115.63            0    100      0 ?

*>i  10.122.61.133/32 181.88.79.82             0    100      0 ?

*>i  10.122.61.134/32 181.88.69.233            0    100      0 ?

*>i  10.122.61.135/32 181.88.79.224            0    100      0 ?

*>i  10.122.61.136/32 181.96.115.189           0    100      0 ?

*>i  10.122.61.138/32 181.89.4.60              0    100      0 ?

*>i  10.122.61.139/32 181.88.172.162           0    100      0 ?

*>i  10.122.61.140/32 181.96.61.8              0    100      0 ?

*>i  10.122.61.141/32 181.88.172.150           0    100      0 ?

*>i  10.122.61.142/32 181.88.172.155           0    100      0 ?

*>i  10.122.61.143/32 181.88.172.144           0    100      0 ?

*>i  10.122.61.145/32 181.88.79.142            0    100      0 ?

*>i  10.122.61.146/32 181.96.61.9              0    100      0 ?

*>i  10.122.61.147/32 181.96.23.193            0    100      0 ?

*>i  10.122.61.148/32 181.88.79.180            0    100      0 ?

*>i  10.122.61.149/32 181.88.79.133            0    100      0 ?

*>i  10.122.61.152/32 181.89.4.53              0    100      0 ?

*>i  10.122.61.153/32 181.96.23.171            0    100      0 ?

*>i  10.122.61.154/32 181.89.6.75              0    100      0 ?

*>i  10.122.61.155/32 181.88.79.132            0    100      0 ?

*>i  10.122.61.157/32 181.88.172.163           0    100      0 ?

*>i  10.122.61.158/32 181.96.61.6              0    100      0 ?

*>i  10.122.61.159/32 181.96.61.26             0    100      0 ?

*>i  10.122.61.160/32 181.89.6.37              0    100      0 ?

*>i  10.122.61.161/32 181.89.6.38              0    100      0 ?

*>i  10.122.61.163/32 181.88.172.138           0    100      0 ?

*>i  10.122.61.164/32 181.96.23.219            0    100      0 ?

*>i  10.122.61.166/32 181.89.6.4               0    100      0 ?

*>i  10.122.61.167/32 181.88.172.87            0    100      0 ?

*>i  10.122.61.168/32 181.88.172.220           0    100      0 ?

*>i  10.122.61.169/32 181.88.172.89            0    100      0 ?

*>i  10.122.61.170/32 181.88.78.65             0    100      0 ?

*>i  10.122.61.171/32 181.88.79.38             0    100      0 ?

*>i  10.122.61.174/32 181.88.79.11             0    100      0 ?

*>i  10.122.61.175/32 181.88.69.158            0    100      0 ?

*>i  10.122.61.176/32 181.88.79.75             0    100      0 ?

*>i  10.122.61.177/32 181.88.172.77            0    100      0 ?

*>i  10.122.61.178/32 181.88.172.188           0    100      0 ?

*>i  10.122.61.179/32 181.88.172.33            0    100      0 ?

*>i  10.122.61.180/32 181.88.79.246            0    100      0 ?

     Network          Next Hop            Metric LocPrf Weight Path

*>i  10.122.61.181/32 181.96.115.138           0    100      0 ?

*>i  10.122.61.182/32 181.89.4.1               0    100      0 ?

*>i  10.122.61.183/32 181.88.79.170            0    100      0 ?

*>i  10.122.61.184/32 186.153.154.9            0    100      0 ?

*>i  10.122.61.185/32 181.88.79.137            0    100      0 ?

*>i  10.122.61.187/32 181.89.4.204             0    100      0 ?

*>i  10.122.61.188/32 181.88.79.138            0    100      0 ?

*>i  10.122.61.189/32 181.88.69.132            0    100      0 ?

*>i  10.122.61.190/32 181.88.79.41             0    100      0 ?

*>i  10.122.61.191/32 186.153.154.13           0    100      0 ?

*>i  10.122.61.192/32 181.88.79.115            0    100      0 ?

*>i  10.122.61.193/32 181.89.4.41              0    100      0 ?

*>i  10.122.61.195/32 181.88.172.145           0    100      0 ?

*>i  10.122.61.196/32 181.88.172.187           0    100      0 ?

*>i  10.122.61.198/32 181.89.51.176            0    100      0 ?

*>i  10.122.61.200/32 181.88.69.225            0    100      0 ?

*>i  10.122.61.201/32 181.88.69.253            0    100      0 ?

*>i  10.122.61.202/32 181.88.172.64            0    100      0 ?

*>i  10.122.61.204/32 181.88.79.29             0    100      0 ?

*>i  10.122.61.206/32 181.89.4.205             0    100      0 ?

*>i  10.122.61.207/32 181.88.172.206           0    100      0 ?

*>i  10.122.61.208/32 10.100.0.57                   100      0 i

*    10.122.61.209/32 10.100.0.1                             0 10481 i

*>                    10.100.0.1                             0 10481 i

*    10.122.61.211/32 10.100.0.36                            0 10481 i

*>                    10.100.0.36                            0 10481 i

*    10.122.61.212/32 10.100.0.13                            0 10481 i

*>                    10.100.0.13                            0 10481 i

*    10.122.61.213/32 10.100.0.128                           0 10481 ?

*>                    10.100.0.128                           0 10481 ?

*    10.122.61.214/32 10.100.0.62                            0 10481 i

*>                    10.100.0.62                            0 10481 i

*    10.122.61.215/32 10.100.0.153                           0 10481 i

*>                    10.100.0.153                           0 10481 i

*    10.122.61.216/32 10.100.0.64                            0 10481 i

*>                    10.100.0.64                            0 10481 i

*    10.122.61.217/32 10.100.0.65                            0 10481 i

*>                    10.100.0.65                            0 10481 i

*    10.122.61.218/32 10.100.0.9                             0 10481 i

*>                    10.100.0.9                             0 10481 i

*    10.122.61.219/32 10.100.0.151                           0 10481 i

*>                    10.100.0.151                           0 10481 i

*    10.122.61.221/32 10.100.0.20                            0 10481 i

     Network          Next Hop            Metric LocPrf Weight Path

*>                    10.100.0.20                            0 10481 i

*    10.122.61.222/32 10.100.0.54                            0 10481 ?

*>                    10.100.0.54                            0 10481 ?

*>i  10.122.61.223/32 10.100.0.66                   100      0 i

*    10.122.61.224/32 10.100.0.31                            0 10481 i

*>                    10.100.0.31                            0 10481 i

*    10.122.61.225/32 10.100.0.7                             0 10481 i

*>                    10.100.0.7                             0 10481 i

*>i  10.122.61.226/32 10.100.0.28                   100      0 i

*    10.122.61.227/32 10.100.0.130                           0 10481 ?

*>                    10.100.0.130                           0 10481 ?

*>i  10.122.61.228/32 10.100.0.33                   100      0 i

*>i  10.122.61.229/32 10.100.0.105                  100      0 i

*>i  10.122.61.230/32 10.100.0.73              0    100      0 ?

*>i  10.122.61.231/32 10.100.0.71              0    100      0 ?

*    10.122.61.232/32 10.100.0.69                            0 10481 i

*>                    10.100.0.69                            0 10481 i

*>i  10.122.61.234/32 186.153.154.16                100      0 i

*>i  10.122.61.235/32 10.100.0.3                    100      0 i

*>i  10.122.61.236/32 10.100.0.68              0    100      0 ?

*    10.122.61.237/32 10.100.0.141                           0 10481 ?

*>                    10.100.0.141                           0 10481 ?

*    10.122.61.238/32 10.100.0.113                           0 10481 i

*>                    10.100.0.113                           0 10481 i

*    10.122.61.239/32 10.100.0.114                           0 10481 ?

*>                    10.100.0.114                           0 10481 ?

*    10.122.61.240/32 10.100.0.110                           0 10481 i

*>                    10.100.0.110                           0 10481 i

*    10.122.61.241/32 10.100.0.133                           0 10481 ?

*>                    10.100.0.133                           0 10481 ?

*    10.122.61.242/32 10.100.0.2                             0 10481 i

*>                    10.100.0.2                             0 10481 i

*>i  10.122.61.243/32 10.100.0.192             0    100      0 ?

*    10.122.61.245/32 10.100.0.67                            0 10481 ?

*>                    10.100.0.67                            0 10481 ?

*    10.122.61.246/32 10.100.0.152                           0 10481 i

*>                    10.100.0.152                           0 10481 i

*>i  10.122.61.247/32 10.100.0.14                   100      0 i

*    10.122.61.248/32 10.100.0.16                            0 10481 i

*>                    10.100.0.16                            0 10481 i

*>i  10.122.61.249/32 10.100.0.56                   100      0 i

*>i  10.122.61.250/32 10.100.0.75              0    100      0 ?

*>i  10.122.61.251/32 10.100.0.195                  100      0 i

     Network          Next Hop            Metric LocPrf Weight Path

*>i  10.122.61.252/32 10.100.0.97                   100      0 i

*>i  10.122.61.253/32 10.100.0.76                   100      0 i

*>i  10.122.61.254/32 10.100.0.37                   100      0 i

*    10.122.62.11/32  10.100.0.111                           0 10481 i

*>                    10.100.0.111                           0 10481 i

*    10.122.62.12/32  10.100.0.10                            0 10481 i

*>                    10.100.0.10                            0 10481 i

*    10.122.62.13/32  10.100.0.155                           0 10481 i

*>                    10.100.0.155                           0 10481 i

*>i  10.122.62.14/32  10.100.0.106                  100      0 i

*    10.122.62.15/32  10.100.0.53                            0 10481 i

*>                    10.100.0.53                            0 10481 i

*    10.122.62.16/32  10.100.0.112                           0 10481 ?

*>                    10.100.0.112                           0 10481 ?

*>i  10.122.62.17/32  10.100.0.27                   100      0 i

*    10.122.62.18/32  10.100.0.48                            0 10481 ?

*>                    10.100.0.48                            0 10481 ?

*    10.122.62.19/32  10.100.0.126                           0 10481 ?

*>                    10.100.0.126                           0 10481 ?

*>i  10.122.62.20/32  10.100.0.101                  100      0 i

*    10.122.62.21/32  10.100.0.77                            0 10481 ?

*>                    10.100.0.77                            0 10481 ?

*    10.122.62.22/32  10.100.0.131                           0 10481 i

*>                    10.100.0.131                           0 10481 i

*    10.122.62.23/32  10.100.0.148                           0 10481 i

*>                    10.100.0.148                           0 10481 i

*    10.122.62.24/32  10.100.0.149                           0 10481 ?

*>                    10.100.0.149                           0 10481 ?

*    10.122.62.25/32  10.100.0.127                           0 10481 i

*>                    10.100.0.127                           0 10481 i

*>i  10.122.62.26/32  10.100.0.103             0    100      0 ?

*    10.122.62.27/32  10.100.0.4                             0 10481 i

*>                    10.100.0.4                             0 10481 i

*    10.122.62.28/32  10.100.0.197                           0 10481 i

*>                    10.100.0.197                           0 10481 i

*    10.122.62.29/32  10.100.0.42                            0 10481 i

*>                    10.100.0.42                            0 10481 i

*>i  10.122.62.30/32  10.100.0.154             0    100      0 ?

*    10.122.62.31/32  10.100.0.78                            0 10481 ?

*>                    10.100.0.78                            0 10481 ?

*    10.122.62.32/32  10.100.0.79                            0 10481 i

*>                    10.100.0.79                            0 10481 i

*    10.122.62.33/32  10.100.0.80                            0 10481 i

     Network          Next Hop            Metric LocPrf Weight Path

*>                    10.100.0.80                            0 10481 i

*>i  10.122.62.34/32  10.100.0.202                  100      0 i

*    10.122.62.35/32  10.100.0.22                            0 10481 i

*>                    10.100.0.22                            0 10481 i

*    10.122.62.36/32  10.100.0.134                           0 10481 i

*>                    10.100.0.134                           0 10481 i

*    10.122.62.37/32  10.100.0.136                           0 10481 ?

*>                    10.100.0.136                           0 10481 ?

*    10.122.62.38/32  10.100.0.12                            0 10481 i

*>                    10.100.0.12                            0 10481 i

*    10.122.62.39/32  10.100.0.84                            0 10481 i

*>                    10.100.0.84                            0 10481 i

*>i  10.122.62.40/32  10.100.0.15                   100      0 i

*    10.122.62.41/32  10.100.0.85                            0 10481 ?

*>                    10.100.0.85                            0 10481 ?

*    10.122.62.42/32  10.100.0.140                           0 10481 i

*>                    10.100.0.140                           0 10481 i

*    10.122.62.43/32  10.100.0.26                            0 10481 ?

*>                    10.100.0.26                            0 10481 ?

*>i  10.122.62.44/32  10.100.0.86              0    100      0 ?

*>i  10.122.62.45/32  10.100.0.83              0    100      0 ?

*    10.122.62.46/32  10.100.0.59                            0 10481 ?

*>                    10.100.0.59                            0 10481 ?

*    10.122.62.47/32  10.100.0.129                           0 10481 i

*>                    10.100.0.129                           0 10481 i

*>i  10.122.62.48/32  10.100.0.87              0    100      0 ?

*>i  10.122.62.49/32  10.100.0.89                   100      0 i

*>i  10.122.62.51/32  10.100.0.6                    100      0 i

*    10.122.62.53/32  186.153.154.248                        0 10481 ?

*>                    186.153.154.248                        0 10481 ?

*>i  10.122.62.55/32  10.100.0.93                   100      0 i

*>i  10.122.62.56/32  10.100.0.107                  100      0 i

*    10.122.62.57/32  10.100.0.32                            0 10481 i

*>                    10.100.0.32                            0 10481 i

*    10.122.62.58/32  10.100.0.38                            0 10481 i

*>                    10.100.0.38                            0 10481 i

*    10.122.62.59/32  10.100.0.95                            0 10481 ?

*>                    10.100.0.95                            0 10481 ?

*    10.122.62.60/32  10.100.0.11                            0 10481 i

*>                    10.100.0.11                            0 10481 i

*    10.122.62.61/32  10.100.0.24                            0 10481 i

*>                    10.100.0.24                            0 10481 i

*    10.122.62.62/32  10.100.0.109                           0 10481 i

     Network          Next Hop            Metric LocPrf Weight Path

*>                    10.100.0.109                           0 10481 i

*>i  10.122.62.63/32  10.100.0.200             0    100      0 ?

*    10.122.62.64/32  10.100.0.108                           0 10481 ?

*>                    10.100.0.108                           0 10481 ?

*>i  10.122.62.65/32  10.100.0.96                   100      0 i

*>i  10.122.62.66/32  10.100.0.98                   100      0 i

*>i  10.122.62.67/32  10.100.0.46              0    100      0 ?

*    10.122.62.68/32  10.100.0.21                            0 10481 i

*>                    10.100.0.21                            0 10481 i

*    10.122.62.69/32  10.100.0.201                           0 10481 ?

*>                    10.100.0.201                           0 10481 ?

*>i  10.122.62.70/32  10.100.0.29              0    100      0 ?

*    10.122.62.71/32  10.100.0.41                            0 10481 i

*>                    10.100.0.41                            0 10481 i

*>i  10.122.62.72/32  10.100.0.115             0    100      0 ?

*>i  10.122.62.73/32  10.100.0.39                   100      0 i

*>i  10.122.62.74/32  10.100.0.58              0    100      0 ?

*    10.122.62.75/32  10.100.0.156                           0 10481 ?

*>                    10.100.0.156                           0 10481 ?

*>i  10.122.62.76/32  10.100.0.25              0    100      0 ?

*>i  10.122.62.77/32  10.100.0.61                   100      0 i

*>i  10.122.62.78/32  10.100.0.30                   100      0 i

*>i  10.122.62.79/32  10.100.0.102                  100      0 i

*>i  10.122.62.116/32 181.96.115.243           0    100      0 ?

*>i  10.122.62.117/32 181.96.115.242           0    100      0 ?

*>i  10.122.62.118/32 181.96.115.134           0    100      0 ?

*>i  10.122.62.119/32 181.96.115.11            0    100      0 ?

*>i  10.122.62.120/32 181.96.115.244           0    100      0 ?

*>i  10.122.62.121/32 181.96.115.214           0    100      0 ?

*>i  10.122.62.122/32 181.96.115.90            0    100      0 ?

*>i  10.122.62.123/32 181.96.115.241           0    100      0 ?

*>i  10.122.63.55/32  186.153.154.34           0    100      0 ?

*>i  10.122.63.56/32  186.153.154.31           0    100      0 ?

*>i  10.122.63.57/32  186.153.154.236          0    100      0 ?

*>i  10.122.63.59/32  186.153.154.237          0    100      0 ?

*>i  10.122.63.60/32  181.96.115.236           0    100      0 ?

*    10.122.63.61/32  10.100.0.74                            0 10481 ?

*>                    10.100.0.74                            0 10481 ?

*>i  10.122.63.76/32  186.153.154.233          0    100      0 ?

*>i  10.122.63.77/32  186.153.154.249          0    100      0 ?

*>i  10.122.63.78/32  186.153.154.234          0    100      0 ?

*>i  10.122.63.79/32  186.153.154.38           0    100      0 ?

*>i  10.122.63.80/32  186.153.154.37           0    100      0 ?

     Network          Next Hop            Metric LocPrf Weight Path

*>i  10.122.63.81/32  186.153.154.39           0    100      0 ?

*>i  10.122.63.82/32  186.153.154.221          0    100      0 ?

*>i  10.122.63.83/32  186.153.154.36           0    100      0 ?

*>i  10.122.63.84/32  186.153.154.40           0    100      0 ?

*>i  10.122.63.85/32  186.153.154.227          0    100      0 ?

*>i  10.122.63.86/32  186.153.154.35           0    100      0 ?

*>i  10.122.63.87/32  186.153.154.204          0    100      0 ?

*>i  10.122.63.89/32  186.153.154.207          0    100      0 ?

*>i  10.122.63.90/32  186.153.154.179          0    100      0 ?

*>i  10.122.63.91/32  186.153.154.208          0    100      0 ?

*>i  10.122.63.92/32  186.153.154.186          0    100      0 ?

*>i  10.122.63.93/32  186.153.154.185          0    100      0 ?

*>i  10.122.63.94/32  186.153.154.200          0    100      0 ?

*>i  10.122.63.95/32  186.153.154.181          0    100      0 ?

*>i  10.122.63.96/32  186.153.154.199          0    100      0 ?

*>i  10.122.63.97/32  186.153.154.206          0    100      0 ?

*>i  10.122.63.98/32  186.153.154.222          0    100      0 ?

*>i  10.122.63.99/32  186.153.154.231          0    100      0 ?

*>i  10.122.63.100/32 186.153.154.183          0    100      0 ?

*>i  10.122.63.101/32 186.153.154.209          0    100      0 ?

*>i  10.122.63.102/32 186.153.154.203          0    100      0 ?

*>i  10.122.64.0/27   181.88.172.158           0    100      0 65011 ?

*>i  10.122.64.32/27  181.88.172.87            0    100      0 ?

*>i  10.122.64.72/29  181.88.172.181           0    100      0 ?

*>i  10.122.64.96/27  181.88.172.181           0    100      0 ?

*>i  10.122.64.128/27 181.88.172.158           0    100      0 ?

*>i  10.122.64.160/27 181.88.172.158           0    100      0 65011 ?

*>i  10.122.64.192/26 181.88.172.158           0    100      0 65011 ?

*    10.122.65.20/30  10.100.0.13                            0 10481 i

*>                    10.100.0.13                            0 10481 i

*    10.122.65.24/30  10.100.0.197                           0 10481 i

*>                    10.100.0.197                           0 10481 i

*>i  10.122.65.28/30  10.100.0.86              0    100      0 ?

*>i  10.122.67.24/30  181.88.172.181           0    100      0 ?

*>i  10.122.67.28/30  181.88.172.132           0    100      0 ?

*>i  10.122.67.36/30  181.88.172.132           0    100      0 ?

*>i  10.122.67.40/30  181.88.172.132           0    100      0 ?

*>i  10.122.67.44/30  181.88.172.132           0    100      0 ?

*>i  10.122.67.48/30  181.88.172.87            0    100      0 ?

*>i  10.122.67.56/30  181.88.172.132           0    100      0 ?

*>i  10.122.67.60/30  181.88.172.132           0    100      0 ?

*>i  10.122.67.64/30  181.88.172.132           0    100      0 ?

*>i  10.122.67.68/30  181.88.172.132           0    100      0 ?

     Network          Next Hop            Metric LocPrf Weight Path

*>i  10.122.67.72/30  181.88.172.132           0    100      0 ?

*>i  10.122.67.76/30  181.88.172.132           0    100      0 ?

*>i  10.122.67.80/30  181.88.172.132           0    100      0 ?

*>i  10.122.67.84/30  181.88.172.132           0    100      0 ?

*>i  10.122.67.88/30  181.88.172.132           0    100      0 ?

*>i  10.122.67.92/30  181.88.172.132           0    100      0 ?

*>i  10.122.67.96/30  181.88.172.157           0    100      0 ?

*>i  10.122.67.100/30 181.88.172.157           0    100      0 ?

*>i  10.122.67.108/30 181.88.172.157           0    100      0 ?

*>i  10.122.67.116/30 181.88.172.220           0    100      0 ?

*>i  10.122.67.120/30 181.88.172.220           0    100      0 ?

*>i  10.122.67.124/30 181.88.172.157           0    100      0 ?

*>i  10.122.67.128/30 181.88.172.157           0    100      0 ?

*>i  10.122.67.132/30 181.88.172.163           0    100      0 ?

*>i  10.122.67.136/30 181.88.172.134           0    100      0 ?

*>i  10.122.67.140/30 181.88.172.134           0    100      0 ?

*>i  10.122.67.144/30 181.88.172.134           0    100      0 ?

*>i  10.122.67.148/30 181.88.172.163           0    100      0 ?

*>i  10.122.67.152/30 181.88.172.163           0    100      0 ?

*>i  10.122.67.160/30 181.88.172.163           0    100      0 ?

*>i  10.122.67.164/30 181.88.172.163           0    100      0 ?

*>i  10.122.67.168/30 190.225.250.51           0    100      0 ?

*>i  10.122.67.196/30 181.88.79.68             0    100      0 ?

*>i  10.122.67.200/30 181.88.79.68             0    100      0 ?

*>i  10.122.67.204/30 181.88.79.68             0    100      0 ?

*>i  10.122.67.208/30 181.88.79.68             0    100      0 ?

*>i  10.122.67.224/30 181.88.79.68             0    100      0 ?

*>i  10.122.67.228/30 181.88.79.68             0    100      0 ?

*>i  10.122.67.232/30 181.88.79.68             0    100      0 ?

*>i  10.122.67.236/30 181.88.79.68             0    100      0 ?

*>i  10.122.137.64/29 181.88.172.183           0    100      0 ?

*>i  10.122.137.88/29 181.88.172.183           0    100      0 ?

*>i  10.122.137.128/26

                       181.88.172.183           0    100      0 ?

*>i  10.122.137.160/29

                       181.88.172.8             0    100      0 ?

*>i  10.122.138.0/27  181.88.172.199           0    100      0 ?

*>i  10.122.138.32/27 181.88.172.199           0    100      0 ?

*>i  10.122.138.64/27 181.88.172.199           0    100      0 ?

*>i  10.122.138.96/27 181.88.172.199           0    100      0 ?

*>i  10.122.138.128/27

                       181.88.172.199           0    100      0 ?

*>i  10.122.144.0/27  181.88.172.221           0    100      0 ?

     Network          Next Hop            Metric LocPrf Weight Path

*>i  10.122.144.32/27 181.88.172.134           0    100      0 ?

*>i  10.122.144.64/27 181.88.172.206           0    100      0 ?

*>i  10.122.144.96/27 181.88.172.199           0    100      0 ?

*>i  10.122.144.128/27

                       181.89.6.30              0    100      0 ?

*>i  10.122.144.160/27

                       181.88.172.158           0    100      0 ?

*>i  10.122.144.192/27

                       181.89.6.38              0    100      0 ?

*>i  10.122.144.224/27

                       181.88.172.177           0    100      0 ?

